Name,URL,Description,Language,Stars,Archived
bojieli/ai-agent-projects,https://github.com/bojieli/ai-agent-projects,Course Project Skeleton for UCAS,JavaScript,29,False
will133/vim-dirdiff,https://github.com/will133/vim-dirdiff,Vim plugin to diff two directories,Vim script,348,False
sindrets/diffview.nvim,https://github.com/sindrets/diffview.nvim,Single tabpage interface for easily cycling through diffs for all modified files for any git rev.,Lua,4838,False
fla-org/flash-linear-attention,https://github.com/fla-org/flash-linear-attention,🚀 Efficient implementations of state-of-the-art linear attention models,Python,3038,False
kubesphere/kubesphere,https://github.com/kubesphere/kubesphere,"The container platform tailored for Kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️",Go,16531,False
dyad-sh/dyad,https://github.com/dyad-sh/dyad,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",TypeScript,13253,False
Huanshere/VideoLingo,https://github.com/Huanshere/VideoLingo,"Netflix-level subtitle cutting, translation, alignment, and even dubbing - one-click fully automated AI video subtitle team | Netflix级字幕切割、翻译、对齐、甚至加上配音，一键全自动视频搬运AI字幕组",Python,14810,False
ouch-org/ouch,https://github.com/ouch-org/ouch,Painless compression and decompression in the terminal,Rust,3036,False
antirez/kilo,https://github.com/antirez/kilo,A text editor in less than 1000 LOC with syntax highlight and search.,C,8447,False
Tokeii0/LovelyMem,https://github.com/Tokeii0/LovelyMem,基于Memprocfs和Volatility的可视化内存取证工具,Python,1270,False
sunscrapers/fastapi-htmx-daisyui,https://github.com/sunscrapers/fastapi-htmx-daisyui,,Python,121,False
wandb/openui,https://github.com/wandb/openui,"OpenUI let's you describe UI using your imagination, then see it rendered live.",TypeScript,21653,False
alpinejs/alpine,https://github.com/alpinejs/alpine,"A rugged, minimal framework for composing JavaScript behavior in your markup. ",HTML,30207,False
RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),Python,50119,False
hulo-lang/hulo,https://github.com/hulo-lang/hulo,"🚀 A modern scripting language that compiles to Bash, PowerShell, VBScript and Batch.",Go,123,False
